d,t1,t2,p,f,F
10,60,40,420,36.17,5.58709229
10,80,40,420,36.17,5.60877387
10,100,40,420,36.17,5.61220253
10,20,60,420,36.17,4.85858343
10,40,60,420,36.17,5.39301776
10,60,60,420,36.17,5.41993584
10,80,60,420,36.17,5.43993427
10,100,60,420,36.17,5.44204134
10,20,80,420,36.17,4.85626441
10,40,80,420,36.17,5.38855427
10,60,80,420,36.17,5.41447492
10,80,80,420,36.17,5.4353461
10,100,80,420,36.17,5.43756538
10,20,100,420,36.17,4.85394539
10,40,100,420,36.17,5.38482638
10,60,100,420,36.17,5.41219331
10,80,100,420,36.17,5.43293981
10,100,100,420,36.17,5.43493466
10,20,120,420,36.17,4.85243678
10,40,120,420,36.17,5.38255723
10,60,120,420,36.17,5.4113829
10,80,120,420,36.17,5.4318551
10,100,120,420,36.17,5.43375022
12,20,40,420,38.16,6.03374049
12,40,40,420,38.16,6.99453784
12,60,40,420,38.16,7.05809893
12,80,40,420,38.16,7.40244844
12,100,40,420,38.16,7.40815871
12,20,60,420,38.16,4.91769293
12,40,60,420,38.16,5.86018734
12,60,60,420,38.16,5.91384147
12,80,60,420,38.16,6.19754648
12,100,60,420,38.16,6.34813285
12,20,80,420,38.16,5.32553939
12,40,80,420,38.16,5.65568661
12,60,80,420,38.16,5.7104456
12,80,80,420,38.16,5.4008122
12,100,80,420,38.16,5.7161559
12,20,100,420,38.16,5.31590497
12,40,100,420,38.16,6.20813302
12,60,100,420,38.16,6.26668196
12,80,100,420,38.16,6.2694947
12,100,100,420,38.16,6.27302559
12,20,120,420,38.16,5.31502723
12,40,120,420,38.16,6.20675657
12,60,120,420,38.16,6.26629296
12,80,120,420,38.16,6.26915558
12,100,120,420,38.16,6.27240719
14,20,40,420,39.93,7.80959582
14,40,40,420,39.93,9.24020519
14,60,40,420,39.93,9.37326908
14,80,40,420,39.93,9.9758555
14,100,40,420,39.93,8.43816905
14,20,60,420,39.93,7.13342577
14,40,60,420,39.93,7.83812527
14,60,60,420,39.93,7.30742505
14,80,60,420,39.93,7.97854073
14,100,60,420,39.93,7.3194441
14,20,80,420,39.93,5.80455328
14,40,80,420,39.93,7.02951566
14,60,80,420,39.93,7.15301432
14,80,80,420,39.93,7.10256766
14,100,80,420,39.93,7.1624733
14,20,100,420,39.93,5.78533609
14,40,100,420,39.93,7.00356582
14,60,100,420,39.93,7.12407218
14,80,100,420,39.93,7.13586681
14,100,100,420,39.93,7.13457015
14,20,120,420,39.93,6.22557354
14,40,120,420,39.93,7.22856941
14,60,120,420,39.93,7.12030688
14,80,120,420,39.93,7.36212572
14,100,120,420,39.93,7.36073653
16,20,40,420,41.53,10.16701259
16,40,40,420,41.53,11.64596892
16,60,40,420,41.53,11.90445376
16,80,40,420,41.53,11.93025839
16,100,40,420,41.53,11.93674277
16,20,60,420,41.53,8.05464901
16,40,60,420,41.53,9.59773866
16,60,60,420,41.53,9.86060963
16,80,60,420,41.53,8.90921139
16,100,60,420,41.53,8.91224513
16,20,80,420,41.53,7.78661054
16,40,80,420,41.53,8.33631385
16,60,80,420,41.53,8.62060707
16,80,80,420,41.53,8.63721279
